reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.83092052,42.95098142,0,0,50,196.1031137,2020/11/03 19:02:34+00,,,,,,,,,,,,,,,,,,,,,
-78.83094713,42.95097815,0,0,51,195.9996938,2020/11/03 19:02:35+00,,,,,,,,,,,,,,,,,,,,,
-78.83098088,42.95096568,0,0,52,195.9579668,2020/11/03 19:02:37+00,,,,,,,,,,,,,,,,,,,,,
-78.83103165,42.95096724,0,0,53,195.8630494,2020/11/03 19:02:39+00,,,,,,,,,,,,,,,,,,,,,
-78.83107107,42.95096589,0,0,54,196.1084182,2020/11/03 19:02:41+00,,,,,,,,,,,,,,,,,,,,,
-78.83110376,42.95096866,0,0,55,196.6272157,2020/11/03 19:02:42+00,,,,,,,,,,,,,,,,,,,,,
-78.8311291,42.95097307,0,0,56,196.0934894,2020/11/03 19:02:44+00,,,,,,,,,,,,,,,,,,,,,
-78.83117423,42.95097238,0,0,57,195.567269,2020/11/03 19:02:46+00,,,,,,,,,,,,,,,,,,,,,
-78.83121076,42.95097138,0,0,58,195.822536,2020/11/03 19:02:48+00,,,,,,,,,,,,,,,,,,,,,
-78.83124512,42.95096961,0,0,59,195.810501,2020/11/03 19:02:50+00,,,,,,,,,,,,,,,,,,,,,
-78.83126801,42.95097676,0,0,60,196.164992,2020/11/03 19:02:52+00,,,,,,,,,,,,,,,,,,,,,
-78.83128028,42.95095845,0,0,61,195.7570186,2020/11/03 19:02:55+00,,,,,,,,,,,,,,,,,,,,,
-78.83123743,42.95095672,0,0,62,195.9829372,2020/11/03 19:02:58+00,,,,,,,,,,,,,,,,,,,,,
-78.8312211,42.95097686,0,0,63,196.1784899,2020/11/03 19:03:00+00,,,,,,,,,,,,,,,,,,,,,
-78.83126859,42.95097837,0,0,64,195.6991538,2020/11/03 19:03:05+00,,,,,,,,,,,,,,,,,,,,,
-78.83130409,42.95098511,0,0,65,195.8827572,2020/11/03 19:03:07+00,,,,,,,,,,,,,,,,,,,,,
-78.83133155,42.95097728,0,0,66,196.0852822,2020/11/03 19:03:09+00,,,,,,,,,,,,,,,,,,,,,
-78.83137549,42.95098532,0,0,67,195.9911226,2020/11/03 19:03:11+00,,,,,,,,,,,,,,,,,,,,,
-78.83140039,42.95098844,0,0,68,196.4998048,2020/11/03 19:03:12+00,,,,,,,,,,,,,,,,,,,,,
-78.83144269,42.95098713,0,0,69,196.1586126,2020/11/03 19:03:14+00,,,,,,,,,,,,,,,,,,,,,
-78.83147569,42.95099591,0,0,70,196.438478,2020/11/03 19:03:17+00,,,,,,,,,,,,,,,,,,,,,
-78.83150904,42.95098852,0,0,71,195.8857176,2020/11/03 19:03:19+00,,,,,,,,,,,,,,,,,,,,,
-78.83153589,42.95098174,0,0,72,195.7418718,2020/11/03 19:03:20+00,,,,,,,,,,,,,,,,,,,,,
-78.83155904,42.9509669,0,0,73,195.7993776,2020/11/03 19:03:21+00,,,,,,,,,,,,,,,,,,,,,
-78.83159752,42.95096425,0,0,74,196.1708775,2020/11/03 19:03:23+00,,,,,,,,,,,,,,,,,,,,,
-78.83163421,42.95096688,0,0,75,195.6056536,2020/11/03 19:03:25+00,,,,,,,,,,,,,,,,,,,,,
-78.83167835,42.95096617,0,0,76,196.1729119,2020/11/03 19:03:27+00,,,,,,,,,,,,,,,,,,,,,
-78.83172491,42.95096058,0,0,77,195.8147457,2020/11/03 19:03:29+00,,,,,,,,,,,,,,,,,,,,,
-78.83176935,42.95095524,0,0,78,195.6024101,2020/11/03 19:03:31+00,,,,,,,,,,,,,,,,,,,,,
-78.83179826,42.95094736,0,0,79,195.833771,2020/11/03 19:03:33+00,,,,,,,,,,,,,,,,,,,,,
-78.83181626,42.95092578,0,0,80,196.0507137,2020/11/03 19:03:35+00,,,,,,,,,,,,,,,,,,,,,
-78.83182581,42.95090918,0,0,81,196.2406041,2020/11/03 19:03:36+00,,,,,,,,,,,,,,,,,,,,,
-78.83185723,42.95089476,0,0,82,196.3585438,2020/11/03 19:03:38+00,,,,,,,,,,,,,,,,,,,,,
