reclat,reclon,
42.95042,-78.8237, 
42.95047,-78.82379, 
42.95052,-78.82388, 
42.95058,-78.82396, 
42.95063,-78.82406, 
42.95069,-78.82415, 
42.95074,-78.82424, 
42.9508,-78.82433, 
42.95085,-78.82443, 
42.9509,-78.82453, 
42.95096,-78.82462, 
42.95102,-78.82471, 
42.95107,-78.8248, 
42.95113,-78.82491, 
42.95118,-78.825, 
42.95123,-78.82508, 
42.95127,-78.82514, 
42.95131,-78.82519, 
42.95134,-78.82524, 
42.95135,-78.82528, 
42.95137,-78.82531, 
42.95139,-78.82535, 
42.95141,-78.82538, 
42.95142,-78.8254, 
42.95143,-78.82545, 
42.95157,-78.82539, 
42.9516,-78.82538, 
42.95163,-78.82535, 
42.95166,-78.82533, 
42.95172,-78.82527, 
42.95176,-78.82521, 
42.95181,-78.82514, 
42.95187,-78.82506, 
42.95193,-78.82499, 
42.95199,-78.82491, 
42.95204,-78.82485, 
42.9521,-78.82477, 
42.95216,-78.8247, 
42.95223,-78.82462, 
42.95231,-78.82455, 
42.95238,-78.82445, 
42.95247,-78.82435, 
42.95253,-78.82424, 
42.95263,-78.82414, 
42.95271,-78.82404, 
42.95279,-78.82397, 
42.95287,-78.82388, 
42.95294,-78.8238, 
42.95302,-78.82372, 
42.95309,-78.82363, 
42.95315,-78.82357, 
42.95321,-78.8235, 
42.95328,-78.82343, 
42.95334,-78.82335, 
42.95342,-78.82327, 
42.95349,-78.82319, 
42.95358,-78.82309, 
42.95366,-78.823, 
42.95373,-78.82291, 
42.95381,-78.82281, 
42.95389,-78.82273, 
42.95396,-78.82265, 
42.95403,-78.82256, 
42.9541,-78.82248, 
42.95418,-78.82241, 
42.95425,-78.82233, 
42.95433,-78.82227, 
42.9544,-78.8222, 
42.95447,-78.82214, 
42.95453,-78.82204, 
42.95459,-78.82198, 
42.95465,-78.82191, 
42.95472,-78.82185, 
42.95475,-78.82179, 
42.9548,-78.82176, 
42.95483,-78.82174, 
42.95484,-78.82172, 
42.95486,-78.8217, 
42.95483,-78.8217, 
42.95485,-78.82167, 
42.95488,-78.82164, 
42.95492,-78.82157, 
42.95498,-78.82153, 
42.95503,-78.82148, 
42.95508,-78.82142, 
42.95514,-78.82135, 
42.95521,-78.82128, 
42.95527,-78.82121, 
42.95534,-78.82112, 
42.95543,-78.82102, 
42.95552,-78.82092, 
42.9556,-78.82081, 
42.95569,-78.82072, 
42.95577,-78.82062, 
42.95585,-78.82052, 
42.95594,-78.82045, 
42.95601,-78.82034, 
42.95608,-78.82024, 
42.95615,-78.82014, 
42.95621,-78.82006, 
42.95627,-78.81999, 
42.95635,-78.81993, 
42.95643,-78.81987, 
42.95649,-78.8198, 
42.95656,-78.81974, 
42.95663,-78.81969, 
42.95668,-78.81968, 
42.95673,-78.81965, 
42.95677,-78.81962, 
42.95679,-78.81961, 
42.95681,-78.8196, 
42.95684,-78.8196, 
42.95687,-78.81962, 
42.9569,-78.81965, 
42.95692,-78.81968, 
42.95694,-78.81971, 
42.95697,-78.81974, 
42.95699,-78.81977, 
42.95703,-78.8198, 
42.95706,-78.81984, 
42.95709,-78.81987, 
42.95711,-78.81989, 
42.95711,-78.81992, 
42.95713,-78.81995, 
,, 
,, 
,, 
,, 
,, 
,, 
,, 
,, 
,, 
,, 
