reclat,reclon
42.94624,-78.82627
42.94671,-78.82772
42.94691,-78.82825
42.94772,-78.82831
42.94726,-78.8266
42.94706,-78.82594
42.9482,-78.82507
42.94896,-78.82474
42.94875,-78.82385
42.9486,-78.82306
42.95712,-78.81995
